grid_case;machine;size_bus;ls_max_throughput;ls_throughput@1;pp_max_throughput;pp_throughput@1;pgm_max_throughput;pgm_throughput@1;olf_max_throughput;olf_throughput@1;powermodels_max_throughput;powermodels_throughput@1;rustpower_max_throughput;rustpower_throughput@1;exapf_max_throughput;exapf_throughput@1;pf-net_max_throughput;gns_max_throughput;canos_max_throughput;gpu-0DCD_max_throughput;exapf-gpu_max_throughput
case14;l20;14;3861293.408765836;137978.34040885553;16168.291936098118;145.98467108240587;5904177.741679103;52872.47379444436;;;12274.431164342554;4576.6046911798;;;;;200443.17440175405;284793.4791856932;96153.95946868979;278160.4639099835;2365.333081480798
case14;t4;14;411800.29261152743;60627.640415245565;579.4659822771865;60.90751341421148;260217.23355128782;30956.271630314437;3817.2462182748927;497.1899633558701;7741.059969478803;1374.511083865769;21881.324931566647;6575.786971691309;51569.35956636114;7988.023830233323;25933.060827217152;67355.22429408944;14724.510473304976;176829.6592653393;13266.988877052561
case14;rtx6k;14;2520555.9534637565;148901.81941617304;4912.037515602358;158.20003560271778;1679104.4421113275;55558.70201208351;28925.165686263466;1532.1632287705422;10713.509025486503;4217.677822262388;343315.0185828024;13901.57582147125;339582.0394913838;40711.77293713229;367696.14599940914;453925.097717323;156186.765349308;384860.72211061406;2247.1388099370774
case_ieee30;l20;30;1865759.719566342;71494.02163919694;17239.576686391036;149.69279619378705;3259125.3262975025;27785.960557756163;;;6359.144202655411;2444.5169331467014;;;;;97169.76469482308;153266.72059752932;45656.73113525173;216857.559356491;6135.014829061772
case_ieee30;t4;30;197123.30208067075;28751.233502005798;559.9983062295405;61.45174134716856;127017.08907937177;16391.514782347105;3131.971874553795;394.9374335960635;3802.0146075609614;678.7493733272808;18001.73425471717;4143.696824893703;22014.509514867044;4491.980882556909;12597.28057492968;33719.65501664651;6961.179848442828;102324.51162518006;31067.057359689752
case_ieee30;rtx6k;30;1269049.34849633;76297.0678110511;4943.447286077577;153.2258699747879;913351.0694724469;29790.65543512618;24180.096019489432;1210.582163508509;5367.68510195814;2237.2370079079546;282289.48629079;11819.883872970455;80218.51801044271;13968.066350687588;171988.17948082858;283241.9738336419;71929.11160258517;306684.88389808335;73096.34959043023
case57;l20;57;872599.215044685;36286.89568352075;15194.067084145481;141.87292531199378;1647876.6133032914;13865.902239027811;;;;;;;;;45462.37419044317;79389.48670215115;23556.529926746178;164196.41908301038;81744.5010957076
case57;t4;57;79073.26064106172;10507.76192625102;547.062782853404;59.95287120621114;62247.99433829141;7631.136282001145;2306.7200409418297;296.47371944576105;;;11170.411609594514;1923.9683250677056;;;6561.034904658046;17510.621255417085;3603.622365176265;57553.54806082246;17368.86173862149
case57;rtx6k;57;631933.048264276;38719.39883655375;4831.574889588146;147.54760420827458;427572.4407060324;14794.7834440497;17306.59197680893;927.5403162884961;;;196540.79156211554;8737.019500645329;;;88502.85310478254;150848.33062531202;37116.67435873266;226796.83670123943;93076.43306135121
case118;l20;118;385344.2892688546;20996.215317981536;15456.112687350676;139.09605618539115;536837.7032167241;4095.2350466308785;;;1262.3970841676971;403.93476652935425;;;;;21373.55390398271;36357.66633994507;10786.34323869882;111594.9071994262;46970.52660232997
case118;t4;118;34714.028102409786;5624.022183660021;521.9259599893263;53.34796074284384;17155.98483201142;1847.3417413093682;1273.2244750882446;168.44521617462547;934.644636111305;166.43992991929534;7916.253369614866;1144.738799207778;6225.6584236091585;1264.43165802035;2900.93048605864;7991.238415828744;1638.9861413200567;33836.57186600336;8616.852798418297
