grid_case;machine;size_bus;threads;ls_throughput;ls_percorethroughput;pgm_throughput;pgm_percorethroughput;powermodels_throughput;powermodels_percorethroughput;pp_throughput;pp_percorethroughput;olf_throughput;olf_percorethroughput;exapf_throughput;exapf_percorethroughput;rustpower_throughput;rustpower_percorethroughput
case14;l20;14;1;137978.34040885553;137978.34040885553;52872.47379444436;52872.47379444436;4576.6046911798;4576.6046911798;145.98467108240587;145.98467108240587;;;;;;
case14;l20;14;2;255210.13269014168;127605.06634507084;103836.54725429307;51918.27362714653;7744.799109136824;3872.399554568412;289.3778134037713;144.68890670188566;;;;;;
case14;l20;14;4;491248.74424249877;122812.18606062469;190487.82348216893;47621.95587054223;12274.431164342554;3068.6077910856384;564.4963101900125;141.12407754750313;;;;;;
case14;l20;14;8;858360.7782504179;107295.09728130224;380641.1093634843;47580.13867043554;11163.306319962305;1395.413289995288;1118.172541713178;139.77156771414724;;;;;;
case14;l20;14;16;1321704.8211039477;82606.55131899673;782920.7949595611;48932.54968497257;10549.501906251524;659.3438691407202;2067.036393958417;129.18977462240107;;;;;;
case14;l20;14;32;2120094.284080399;66252.94637751248;1523877.4092896257;47621.1690403008;9972.50760295671;311.6408625923972;4211.920343834446;131.62251074482643;;;;;;
case14;l20;14;64;2491767.8335851347;38933.87239976773;2323952.5705239484;36311.758914436694;9199.171465321238;143.73705414564435;7666.600983811075;119.79064037204805;;;;;;
case14;l20;14;128;2625484.5662863236;20511.598174111903;4442717.748837639;34708.73241279405;6808.88744535972;53.19443316687281;12544.609924540595;98.0047650354734;;;;;;
case14;l20;14;256;3704075.044762666;14469.043143604164;5032558.469237973;19658.431520460832;4157.519081059678;16.240308910389366;16168.291936098118;63.15739037538327;;;;;;
case14;l20;14;512;3861293.408765836;7541.588688995774;5904177.741679103;11531.597151716998;;;15415.610735781815;30.108614718323857;;;;;;
case14;l20;14;1024;3844629.4727344397;3754.520969467226;5622092.594814993;5490.324799624017;;;9253.548698385564;9.036668650767153;;;;;;
case14;t4;14;1;60627.640415245565;60627.640415245565;30956.271630314437;30956.271630314437;1374.511083865769;1374.511083865769;60.90751341421148;60.90751341421148;497.1899633558701;497.1899633558701;7988.023830233323;7988.023830233323;6575.786971691309;6575.786971691309
case14;t4;14;2;112371.26323340244;56185.63161670122;59986.89691408134;29993.44845704067;2596.8993084236754;1298.4496542118377;116.9556509564939;58.47782547824695;986.8168780011206;493.4084390005603;17769.95640047947;8884.978200239735;4028.5048089091238;2014.2524044545619
case14;t4;14;4;196496.6346579916;49124.1586644979;118346.39727729147;29586.599319322868;4800.4144593200135;1200.1036148300034;239.70767893038763;59.92691973259691;1914.4367925432125;478.6091981358031;32949.25199076032;8237.31299769008;7811.453038446678;1952.8632596116695
case14;t4;14;8;314302.86266681686;39287.85783335211;226064.23090572198;28258.028863215248;7741.059969478803;967.6324961848504;448.3208103286857;56.04010129108571;3492.6121867885854;436.5765233485732;42676.80505861334;5334.600632326667;14747.819967911686;1843.4774959889608
