grid_case;machine;batch_size;size_bus;threads;exapf-gpu_throughput;pf-net_throughput;gns_throughput;canos_throughput;gpu-0DCD_throughput
case14;l20;1;14;-1;615.5840205378908;1143.8668412755017;38.62368278282462;136.1296081702714;976.6074863338943
case14;l20;2;14;-1;;2277.485042200816;82.14675409053582;274.4929910733135;1969.6609172415235
case14;l20;4;14;-1;;4255.284314357368;177.48493894831967;543.2767563845272;3966.2425182025254
case14;l20;8;14;-1;;8568.327999730043;353.956081118628;1066.5758750128832;7412.020772212639
case14;l20;16;14;-1;2365.333081480798;16902.337128839325;702.372398896458;2082.624549819655;12494.770726993334
case14;l20;32;14;-1;;34172.619897187666;1403.4001912985307;4115.7954086974005;14533.73897860398
case14;l20;64;14;-1;;66984.38173503497;2754.2833058018186;8219.604106661087;48247.59208209421
case14;l20;128;14;-1;;112686.63561102508;5534.56261366389;16404.670221386612;77946.79803100941
case14;l20;256;14;-1;;150658.43778230617;10565.079604277737;33752.2090699042;131589.82238324065
case14;l20;512;14;-1;;181656.43107901837;22171.77326822706;66806.05527910206;198494.9386105968
case14;l20;1024;14;-1;;200443.17440175405;41994.360693267736;94172.16697095177;251569.86824333374
case14;l20;2048;14;-1;;171853.58177332295;78588.76540925447;96153.95946868979;270782.58478524117
case14;l20;4096;14;-1;;146538.34868563345;145483.9691908701;81706.92272203516;278160.4639099835
case14;l20;8192;14;-1;;137721.47239540963;208405.5413847512;68226.48693271338;183194.99246715667
case14;l20;16384;14;-1;;136967.01196366985;284793.4791856932;62339.64656053603;154753.1605272098
case14;l20;32768;14;-1;;;;;176240.52578544713
case14;l20;65536;14;-1;;;;;130432.86401730147
case14;t4;1;14;-1;366.5836927755;436.3104596992428;17.1886363748499;48.68690207887622;690.5952939458685
case14;t4;2;14;-1;;835.2389990959331;34.3283693865931;92.38751948440648;1492.2691413048296
case14;t4;4;14;-1;;1637.3146415916506;70.05247390664644;177.9675491119102;2631.0540423350417
case14;t4;8;14;-1;;3335.008028757535;139.11529560987847;361.00443549639067;5854.4585994684385
case14;t4;16;14;-1;258.80338374485757;6490.349147095607;276.04701663211307;701.1898802455686;9372.704489759857
case14;t4;32;14;-1;;11652.304550244235;550.9685268486222;1389.1868982975732;18431.17531522002
case14;t4;64;14;-1;;17030.041902168574;1103.750791852886;2801.9693782022487;35531.44074610679
case14;t4;128;14;-1;;19478.457421977335;2194.492857813861;5531.692663705125;68959.96357537495
case14;t4;256;14;-1;13266.988877052561;21777.502317974097;4336.711173353291;10136.778372926656;107330.68370560493
case14;t4;512;14;-1;;23086.09596979411;8507.156914577188;12087.616372604096;139249.87688528694
case14;t4;1024;14;-1;;23472.733805191136;15834.116789426382;13038.181052233569;163139.08065020936
case14;t4;2048;14;-1;;25885.761483997238;26769.437808257746;13679.923408368319;171660.99382293102
case14;t4;4096;14;-1;;25933.060827217152;42964.22153070822;14180.590749486022;176829.6592653393
case14;t4;8192;14;-1;;25458.526548678816;59267.76436741774;14516.738815162265;171675.89830660477
case14;t4;16384;14;-1;;24699.176761804592;67355.22429408944;14724.510473304976;161131.56028513124
case14;t4;32768;14;-1;;;;;145864.16810325987
case14;t4;65536;14;-1;;;;;123729.87213425196
case14;rtx6k;1;14;-1;152.82893018121484;750.4125204510461;45.92863886657086;139.5948069901941;1062.7201408749577
case14;rtx6k;2;14;-1;;2435.80794593568;90.08202512016406;267.39076099854884;2111.485148845842
case14;rtx6k;4;14;-1;;4824.760647077362;182.83383172413255;529.8136417489715;4167.495365117971
case14;rtx6k;8;14;-1;;9445.603565638334;364.34175570676837;1064.9146678341635;8142.435458716647
case14;rtx6k;16;14;-1;2247.1388099370774;18997.47802282173;734.9540069525135;2110.6533652605062;13146.310655333502
case14;rtx6k;32;14;-1;;37854.751128986056;1466.4735870944862;4188.984200877165;25245.843833105362
case14;rtx6k;64;14;-1;;75843.46233753381;2929.716271291884;8591.404458388693;48018.92391567175
case14;rtx6k;128;14;-1;;153075.6402931216;5894.198159973355;17414.36308085419;89217.18874926072
case14;rtx6k;256;14;-1;;241143.53689575323;11711.685605292458;35046.95549969848;151660.42195232247
case14;rtx6k;512;14;-1;;321976.75170907873;23243.94206085113;70130.38642289759;235610.89908078263
case14;rtx6k;1024;14;-1;;367696.14599940914;46105.125475987894;139354.88057991295;308169.45969363855
case14;rtx6k;2048;14;-1;;341867.7764455185;90335.28014149913;154069.3798767874;358578.34026418306
case14;rtx6k;4096;14;-1;;317217.7792953774;165544.18751437482;156186.765349308;384860.72211061406
case14;rtx6k;8192;14;-1;;284171.33069856267;287257.2280105525;149346.32740526;367587.50858449424
case14;rtx6k;16384;14;-1;;284866.03567287565;453925.097717323;139597.5282390466;338587.2414762521
case14;rtx6k;32768;14;-1;;;;;297056.6621006874
case14;rtx6k;65536;14;-1;;;;;231750.95906961642
case_ieee30;l20;1;30;-1;611.13178899864;1108.1715966844959;42.405627336102114;139.67929631893026;911.482699888426
case_ieee30;l20;2;30;-1;;2131.183006330142;85.66000752161021;263.51209847339163;1814.945273257452
case_ieee30;l20;4;30;-1;;4195.451336764014;170.34904457921078;512.1407138006615;3550.2530016760093
case_ieee30;l20;8;30;-1;;8411.472741780224;341.6974771473307;1010.876262771598;6572.94538703163
case_ieee30;l20;16;30;-1;6135.014829061772;17595.33261774803;683.1845714793693;1996.6491172795909;8703.648741974379
case_ieee30;l20;32;30;-1;;36157.48337438326;1358.2934473228277;4009.463954324438;16573.12112885076
case_ieee30;l20;64;30;-1;;55321.537127987016;2737.566220414565;7776.057122435289;32435.65728610592
case_ieee30;l20;128;30;-1;;75743.6371140745;5415.012883933305;16147.057447791709;56119.09871355214
case_ieee30;l20;256;30;-1;;89864.49350521165;10778.254087031271;32701.782186207256;95568.92542506622
case_ieee30;l20;512;30;-1;;97169.76469482308;21216.540937854712;44612.643953623;153013.56057185374
